Questions,Answers
Python Program to Check if a Number is Odd or Even,"# Python program to check if the input number is odd or even.
# A number is even if division by 2 gives a remainder of 0.
# If the remainder is 1, it is an odd number.

num = int(input(""Enter a number: ""))
if (num % 2) == 0:
   print(""{0} is Even"".format(num))
else:
   print(""{0} is Odd"".format(num))"
Python Program to Check Leap Year,"# Python program to check if year is a leap year or not

year = 2000

# To get year (integer input) from the user
# year = int(input(""Enter a year: ""))

if (year % 4) == 0:
   if (year % 100) == 0:
       if (year % 400) == 0:
           print(""{0} is a leap year"".format(year))
       else:
           print(""{0} is not a leap year"".format(year))
   else:
       print(""{0} is a leap year"".format(year))
else:
   print(""{0} is not a leap year"".format(year))
"
Python Program to Find the Largest Among Three Numbers,"# Python program to find the largest number among the three input numbers

# change the values of num1, num2 and num3
# for a different result
num1 = 10
num2 = 14
num3 = 12

# uncomment following lines to take three numbers from user
#num1 = float(input(""Enter first number: ""))
#num2 = float(input(""Enter second number: ""))
#num3 = float(input(""Enter third number: ""))

if (num1 >= num2) and (num1 >= num3):
   largest = num1
elif (num2 >= num1) and (num2 >= num3):
   largest = num2
else:
   largest = num3

print(""The largest number is"", largest)
"
Python Program to Check Prime Number,"# Program to check if a number is prime or not

num = 29

# To take input from the user
#num = int(input(""Enter a number: ""))

# define a flag variable
flag = False

# prime numbers are greater than 1
if num > 1:
    # check for factors
    for i in range(2, num):
        if (num % i) == 0:
            # if factor is found, set flag to True
            flag = True
            # break out of loop
            break

# check if flag is True
if flag:
    print(num, ""is not a prime number"")
else:
    print(num, ""is a prime number"")"
Python Program to Print all Prime Numbers in an Interval,"# Python program to display all the prime numbers within an interval

lower = 900
upper = 1000

print(""Prime numbers between"", lower, ""and"", upper, ""are:"")

for num in range(lower, upper + 1):
   # all prime numbers are greater than 1
   if num > 1:
       for i in range(2, num):
           if (num % i) == 0:
               break
       else:
           print(num)"
Python Program to Find the Factorial of a Number,"# Python program to find the factorial of a number provided by the user.

# change the value for a different result
num = 7

# To take input from the user
#num = int(input(""Enter a number: ""))

factorial = 1

# check if the number is negative, positive or zero
if num < 0:
   print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
   print(""The factorial of 0 is 1"")
else:
   for i in range(1,num + 1):
       factorial = factorial*i
   print(""The factorial of"",num,""is"",factorial)
"
Python Program to Display the multiplication Table,"# Multiplication table (from 1 to 10) in Python

num = 12

# To take input from the user
# num = int(input(""Display multiplication table of? ""))

# Iterate 10 times from i = 1 to 10
for i in range(1, 11):
   print(num, 'x', i, '=', num*i)
"
Python Program to Print the Fibonacci sequence,"# Program to display the Fibonacci sequence up to n-th term

nterms = int(input(""How many terms? ""))

# first two terms
n1, n2 = 0, 1
count = 0

# check if the number of terms is valid
if nterms <= 0:
   print(""Please enter a positive integer"")
elif nterms == 1:
   print(""Fibonacci sequence upto"",nterms,"":"")
   print(n1)
else:
   print(""Fibonacci sequence:"")
   while count < nterms:
       print(n1)
       nth = n1 + n2
       # update values
       n1 = n2
       n2 = nth
       count += 1"
Python Program to Check Armstrong Number,"# Python program to check if the number is an Armstrong number or not

# take input from the user
num = int(input(""Enter a number: ""))

# initialize sum
sum = 0

# find the sum of the cube of each digit
temp = num
while temp > 0:
   digit = temp % 10
   sum += digit ** 3
   temp //= 10

# display the result
if num == sum:
   print(num,""is an Armstrong number"")
else:
   print(num,""is not an Armstrong number"")
"
Python Program to Find Armstrong Number in an Interval,"# Program to check Armstrong numbers in a certain interval

lower = 100
upper = 2000

for num in range(lower, upper + 1):

   # order of number
   order = len(str(num))
    
   # initialize sum
   sum = 0

   temp = num
   while temp > 0:
       digit = temp % 10
       sum += digit ** order
       temp //= 10

   if num == sum:
       print(num)
"
Python Program to Find the Sum of Natural Numbers,"# Sum of natural numbers up to num

num = 16

if num < 0:
   print(""Enter a positive number"")
else:
   sum = 0
   # use while loop to iterate until zero
   while(num > 0):
       sum += num
       num -= 1
   print(""The sum is"", sum)
"
Python Program To Display Powers of 2 Using Anonymous Function,"# Display the powers of 2 using anonymous function

terms = 10

# Uncomment code below to take input from the user
# terms = int(input(""How many terms? ""))

# use anonymous function
result = list(map(lambda x: 2 ** x, range(terms)))

print(""The total terms are:"",terms)
for i in range(terms):
   print(""2 raised to power"",i,""is"",result[i])
"
Python Program to Find Numbers Divisible by Another Number,"# Take a list of numbers
my_list = [12, 65, 54, 39, 102, 339, 221,]

# use anonymous function to filter
result = list(filter(lambda x: (x % 13 == 0), my_list))

# display the result
print(""Numbers divisible by 13 are"",result)
"
"Python Program to Convert Decimal to Binary, Octal and Hexadecimal","# Python program to convert decimal into other number systems
dec = 344

print(""The decimal value of"", dec, ""is:"")
print(bin(dec), ""in binary."")
print(oct(dec), ""in octal."")
print(hex(dec), ""in hexadecimal."")
"
Python Program to Find ASCII Value of Character,"# Program to find the ASCII value of the given character

c = 'p'
print(""The ASCII value of '"" + c + ""' is"", ord(c))
"
Python Program to Find (highest common factor) or GCD(greatest common divisor),"# Python program to find H.C.F of two numbers

# define a function
def compute_hcf(x, y):

# choose the smaller number
    if x > y:
        smaller = y
    else:
        smaller = x
    for i in range(1, smaller+1):
        if((x % i == 0) and (y % i == 0)):
            hcf = i 
    return hcf

num1 = 54 
num2 = 24

print(""The H.C.F. is"", compute_hcf(num1, num2))
"
Python Program to Find LCM(Least common multiple),"# Python Program to find the L.C.M. of two input number

def compute_lcm(x, y):

   # choose the greater number
   if x > y:
       greater = x
   else:
       greater = y

   while(True):
       if((greater % x == 0) and (greater % y == 0)):
           lcm = greater
           break
       greater += 1

   return lcm

num1 = 54
num2 = 24

print(""The L.C.M. is"", compute_lcm(num1, num2))"
Python Program to Find the Factors of a Number,"# Python Program to find the factors of a number

# This function computes the factor of the argument passed
def print_factors(x):
   print(""The factors of"",x,""are:"")
   for i in range(1, x + 1):
       if x % i == 0:
           print(i)

num = 320

print_factors(num)
"
Python Program to Make a Simple Calculator,"# Program make a simple calculator

# This function adds two numbers
def add(x, y):
    return x + y

# This function subtracts two numbers
def subtract(x, y):
    return x - y

# This function multiplies two numbers
def multiply(x, y):
    return x * y

# This function divides two numbers
def divide(x, y):
    return x / y


print(""Select operation."")
print(""1.Add"")
print(""2.Subtract"")
print(""3.Multiply"")
print(""4.Divide"")

while True:
    # Take input from the user
    choice = input(""Enter choice(1/2/3/4): "")

    # Check if choice is one of the four options
    if choice in ('1', '2', '3', '4'):
        num1 = float(input(""Enter first number: ""))
        num2 = float(input(""Enter second number: ""))

        if choice == '1':
            print(num1, ""+"", num2, ""="", add(num1, num2))

        elif choice == '2':
            print(num1, ""-"", num2, ""="", subtract(num1, num2))

        elif choice == '3':
            print(num1, ""*"", num2, ""="", multiply(num1, num2))

        elif choice == '4':
            print(num1, ""/"", num2, ""="", divide(num1, num2))
        break
    else:
        print(""Invalid Input"")
"
Python Program to Shuffle Deck of Cards,"# Python program to shuffle a deck of card

# importing modules
import itertools, random

# make a deck of cards
deck = list(itertools.product(range(1,14),['Spade','Heart','Diamond','Club']))

# shuffle the cards
random.shuffle(deck)

# draw five cards
print(""You got:"")
for i in range(5):
   print(deck[i][0], ""of"", deck[i][1])
"
Python Program to Display Calendar,"# Program to display calendar of the given month and year

# importing calendar module
import calendar

yy = 2014  # year
mm = 11    # month

# To take month and year input from the user
# yy = int(input(""Enter year: ""))
# mm = int(input(""Enter month: ""))

# display the calendar
print(calendar.month(yy, mm))
"
Python Program to Display Fibonacci Sequence Using Recursion,"# Python program to display the Fibonacci sequence

def recur_fibo(n):
   if n <= 1:
       return n
   else:
       return(recur_fibo(n-1) + recur_fibo(n-2))

nterms = 10

# check if the number of terms is valid
if nterms <= 0:
   print(""Plese enter a positive integer"")
else:
   print(""Fibonacci sequence:"")
   for i in range(nterms):
       print(recur_fibo(i))
"
Python Program to Find Sum of Natural Numbers Using Recursion,"# Python program to find the sum of natural using recursive function

def recur_sum(n):
   if n <= 1:
       return n
   else:
       return n + recur_sum(n-1)

# change this value for a different result
num = 16

if num < 0:
   print(""Enter a positive number"")
else:
   print(""The sum is"",recur_sum(num))
"
Python Program to Find Factorial of Number Using Recursion,"# Factorial of a number using recursion

def recur_factorial(n):
   if n == 1:
       return n
   else:
       return n*recur_factorial(n-1)

num = 7

# check if the number is negative
if num < 0:
   print(""Sorry, factorial does not exist for negative numbers"")
elif num == 0:
   print(""The factorial of 0 is 1"")
else:
   print(""The factorial of"", num, ""is"", recur_factorial(num))
"
Python Program to Convert Decimal to Binary Using Recursion,"# Function to print binary number using recursion
def convertToBinary(n):
   if n > 1:
       convertToBinary(n//2)
   print(n % 2,end = '')

# decimal number
dec = 34

convertToBinary(dec)
print()
"
Python Program to Add Two Matrices,"# Program to add two matrices using nested loop

X = [[12,7,3],
    [4 ,5,6],
    [7 ,8,9]]

Y = [[5,8,1],
    [6,7,3],
    [4,5,9]]

result = [[0,0,0],
         [0,0,0],
         [0,0,0]]

# iterate through rows
for i in range(len(X)):
   # iterate through columns
   for j in range(len(X[0])):
       result[i][j] = X[i][j] + Y[i][j]

for r in result:
   print(r)"
Python Program to Transpose a Matrix,"# Program to transpose a matrix using a nested loop

X = [[12,7],
    [4 ,5],
    [3 ,8]]

result = [[0,0,0],
         [0,0,0]]

# iterate through rows
for i in range(len(X)):
   # iterate through columns
   for j in range(len(X[0])):
       result[j][i] = X[i][j]

for r in result:
   print(r)
"
Python Program to Multiply Two Matrices,"# Program to multiply two matrices using nested loops

# 3x3 matrix
X = [[12,7,3],
    [4 ,5,6],
    [7 ,8,9]]
# 3x4 matrix
Y = [[5,8,1,2],
    [6,7,3,0],
    [4,5,9,1]]
# result is 3x4
result = [[0,0,0,0],
         [0,0,0,0],
         [0,0,0,0]]

# iterate through rows of X
for i in range(len(X)):
   # iterate through columns of Y
   for j in range(len(Y[0])):
       # iterate through rows of Y
       for k in range(len(Y)):
           result[i][j] += X[i][k] * Y[k][j]

for r in result:
   print(r)
"
Python Program to Check Whether a String is Palindrome or Not,"# Program to check if a string is palindrome or not

my_str = 'aIbohPhoBiA'

# make it suitable for caseless comparison
my_str = my_str.casefold()

# reverse the string
rev_str = reversed(my_str)

# check if the string is equal to its reverse
if list(my_str) == list(rev_str):
   print(""The string is a palindrome."")
else:
   print(""The string is not a palindrome."")
"
Python Program to Remove Punctuations From a String,"# define punctuation
punctuations = '''!()-[]{};:'""\,<>./?@#$%^&*_~'''

my_str = ""Hello!!!, he said ---and went.""

# To take input from the user
# my_str = input(""Enter a string: "")

# remove punctuation from the string
no_punct = """"
for char in my_str:
   if char not in punctuations:
       no_punct = no_punct + char

# display the unpunctuated string
print(no_punct)
"
Python Program to Sort Words in Alphabetic Order,"# Program to sort alphabetically the words form a string provided by the user

my_str = ""Hello this Is an Example With cased letters""

# To take input from the user
#my_str = input(""Enter a string: "")

# breakdown the string into a list of words
words = [word.lower() for word in my_str.split()]

# sort the list
words.sort()

# display the sorted words

print(""The sorted words are:"")
for word in words:
   print(word)
"
Python Program to Illustrate Different Set Operations,"# Program to perform different set operations like in mathematics

# define three sets
E = {0, 2, 4, 6, 8};
N = {1, 2, 3, 4, 5};

# set union
print(""Union of E and N is"",E | N)

# set intersection
print(""Intersection of E and N is"",E & N)

# set difference
print(""Difference of E and N is"",E - N)

# set symmetric difference
print(""Symmetric difference of E and N is"",E ^ N)
"
Python Program to Count the Number of Each Vowel,"# Program to count the number of each vowels

# string of vowels
vowels = 'aeiou'

ip_str = 'Hello, have you tried our tutorial section yet?'

# make it suitable for caseless comparisions
ip_str = ip_str.casefold()

# make a dictionary with each vowel a key and value 0
count = {}.fromkeys(vowels,0)

# count the vowels
for char in ip_str:
   if char in count:
       count[char] += 1

print(count)
"
Python Program to Merge Mails,"# Python program to mail merger
# Names are in the file names.txt
# Body of the mail is in body.txt

# open names.txt for reading
with open(""names.txt"", 'r', encoding='utf-8') as names_file:

    # open body.txt for reading
    with open(""body.txt"", 'r', encoding='utf-8') as body_file:

        # read entire content of the body
        body = body_file.read()

        # iterate over names
        for name in names_file:
            mail = ""Hello "" + name.strip() + ""\n"" + body

            # write the mails to individual files
            with open(name.strip()+"".txt"", 'w', encoding='utf-8') as mail_file:
                mail_file.write(mail)"
Python Program to Find the Size (Resolution) of a Image,"def jpeg_res(filename):
   """"""""This function prints the resolution of the jpeg image file passed into it""""""

   # open image for reading in binary mode
   with open(filename,'rb') as img_file:

       # height of image (in 2 bytes) is at 164th position
       img_file.seek(163)

       # read the 2 bytes
       a = img_file.read(2)

       # calculate height
       height = (a[0] << 8) + a[1]

       # next 2 bytes is width
       a = img_file.read(2)

       # calculate width
       width = (a[0] << 8) + a[1]

   print(""The resolution of the image is"",width,""x"",height)

jpeg_res(""img1.jpg"")"
Python Program to Find Hash of File,"# Python rogram to find the SHA-1 message digest of a file

# importing the hashlib module
import hashlib

def hash_file(filename):
   """"""""This function returns the SHA-1 hash
   of the file passed into it""""""

   # make a hash object
   h = hashlib.sha1()

   # open file for reading in binary mode
   with open(filename,'rb') as file:

       # loop till the end of the file
       chunk = 0
       while chunk != b'':
           # read only 1024 bytes at a time
           chunk = file.read(1024)
           h.update(chunk)

   # return the hex representation of digest
   return h.hexdigest()

message = hash_file(""track1.mp3"")
print(message)"
Python Program to Create Pyramid Patterns,"rows = int(input(""Enter number of rows: ""))

for i in range(rows):
    for j in range(i+1):
        print(""* "", end="""")
    print(""\n"")"
Python Program to Merge Two Dictionaries,"dict_1 = {1: 'a', 2: 'b'}
dict_2 = {2: 'c', 4: 'd'}

print(dict_1|dict_2)"
Python Program to Safely Create a Nested Directory,"from pathlib import Path
Path(""/root/dirA/dirB"").mkdir(parents=True, exist_ok=True)"
Python Program to Access Index of a List Using for Loop,"my_list = [21, 44, 35, 11]

for index, val in enumerate(my_list):
    print(index, val)"
Python Program to Make a Flattened List from Nested List,"my_list = [[1], [2, 3], [4, 5, 6, 7]]

flat_list = [num for sublist in my_list for num in sublist]
print(flat_list)"
List Slicing in Python,"my_list = [1, 2, 3, 4, 5]

print(my_list[:])"
Python Program to Iterate Over Dictionaries Using for Loop,"dt = {'a': 'juice', 'b': 'grill', 'c': 'corn'}

for key, value in dt.items():
    print(key, value)"
Python Program to Sort a Dictionary by Value,"dt = {5:4, 1:6, 6:3}

sorted_dt = {key: value for key, value in sorted(dt.items(), key=lambda item: item[1])}

print(sorted_dt)"
Python Program to Check If a List is Empty,"my_list = []
if not my_list:
    print(""the list is empty"")"
Python Program to Catch Multiple Exceptions in One Line,"string = input()

try:
    num = int(input())
    print(string+num)
except (TypeError, ValueError) as e:
    print€"
Python Program To Copy a File,"from shutil import copyfile
copyfile(""/root/a.txt"", ""/root/b.txt"")"
Python Program Concatenate Two Lists,"list_1 = [1, 'a']
list_2 = [3, 4, 5]

list_joined = list_1 + list_2
print(list_joined)"
Python Program to Check if a Key is Already Present in a Dictionary,"my_dict = {1: 'a', 2: 'b', 3: 'c'}

if 2 in my_dict:
    print(""present"")"
Python Program to Split a List Into Evenly Sized Chunks,"def split(list_a, chunk_size):

    for i in range(0, len(list_a), chunk_size):
        yield list_a[i:i + chunk_size]

chunk_size = 2
my_list = [1,2,3,4,5,6,7,8,9]
print(list(split(my_list, chunk_size)))"
Python Program to Parse a String to a Float or Int,"balance_str = ""1500""
balance_int = int(balance_str)

# print the type
print(type(balance_int))

# print the value
print(balance_int)"
Python Program to Print Colored Text to the Terminal,print('\x1b[38;2;5;86;243m' + 'Programiz' + '\x1b[0m')
Python Program to Convert String to Datetime,"from datetime import datetime

my_date_string = ""Mar 11 2011 11:31AM""

datetime_object = datetime.strptime(my_date_string, '%b %d %Y %I:%M%p')

print(type(datetime_object))
print(datetime_object)"
Python Program to Get the Last Element of the List,"my_list = ['a', 'b', 'c', 'd', 'e']

# print the last element
print(my_list[-1])"
Python Program to Get a Substring of a String,"my_string = ""I love python.""

# prints ""love""
print(my_string[2:6])

# prints ""love python.""
print(my_string[2:])

# prints ""I love python""
print(my_string[:-1])"
Python Program to Print Output Without a Newline,"# print each statement on a new line
print(""Python"")
print(""is easy to learn."")

# new line
print()

# print both the statements on a single line
print(""Python"", end="" "")
print(""is easy to learn."")"
Python Program Read a File Line by Line Into a List,"with open(""data_file.txt"") as f:
    content_list = f.readlines()

# print the list
print(content_list)

# remove new line characters
content_list = [x.strip() for x in content_list]
print(content_list)"
Python Program to Randomly Select an Element From the List,"import random

my_list = [1, 'a', 32, 'c', 'd', 31]
print(random.choice(my_list))"
Python Program to Check If a String Is a Number (Float),"def isfloat(num):
    try:
        float(num)
        return True
    except ValueError:
        return False

print(isfloat('s12'))
print(isfloat('1.123'))"
Python Program to Count the Occurrence of an Item in a List,"freq = ['a', 1, 'a', 4, 3, 2, 'a'].count('a')
print(freq)"
Python Program to Append to a File,"with open(""my_file.txt"", ""a"") as f:
   f.write(""new text"")"
Python Program to Delete an Element From a Dictionary,"my_dict = {31: 'a', 21: 'b', 14: 'c'}

del my_dict[31]

print(my_dict)"
Python Program to Create a Long Multiline String,"my_string = '''The only way to
learn to program is
by writing code.'''

print(my_string)"
Python Program to Extract Extension From the File Name,"import os
file_details = os.path.splitext('/path/file.ext')
print(file_details)
print(file_details[1])"
Python Program to Measure the Elapsed Time in Python,"import time

start = time.time()

print(23*2.3)

end = time.time()
print(end - start)"
Python Program to Get the Class Name of an Instance,"class Vehicle:
    def name(self, name):
        return name

print(v.__class__.__name__)"
Python Program to Convert Two Lists Into a Dictionary,"index = [1, 2, 3]
languages = ['python', 'c', 'c++']

dictionary = dict(zip(index, languages))
print(dictionary)"
Python Program to Differentiate Between type() and isinstance(),"class Polygon:
    def sides_no(self):
        pass

class Triangle(Polygon):
    def area(self):
        pass

obj_polygon = Polygon()
obj_triangle = Triangle()

print(type(obj_triangle) == Triangle)    # true
print(type(obj_triangle) == Polygon)     # false

print(isinstance(obj_polygon, Polygon))  # true
print(isinstance(obj_triangle, Polygon)) # true"
Python Program to Trim Whitespace From a String,"my_string = "" Python ""

print(my_string.strip())"
Python Program to Get the File Name From the File Path,"import os

# file name with extension
file_name = os.path.basename('/root/file.ext')

# file name without extension
print(os.path.splitext(file_name)[0])"
Python Program to Represent enum,"from enum import Enum

class Day(Enum):
    MONDAY = 1
    TUESDAY = 2
    WEDNESDAY = 3

# print the enum member
print(Day.MONDAY)

# get the name of the enum member
print(Day.MONDAY.name)

# get the value of the enum member
print(Day.MONDAY.value)"
Python Program to Return Multiple Values From a Function,"def name():
    return ""John"",""Armin""

# print the tuple with the returned values
print(name())

# get the individual items
name_1, name_2 = name()
print(name_1, name_2)"
Python Program to Get Line Count of a File,"def file_len(fname):
    with open(fname) as f:
        for i, l in enumerate(f):
            pass
    return i + 1

print(file_len(""my_file.txt""))"
"Python Program to Differentiate Between del, remove, and pop on a List","my_list = [1, 2, 3, 4]

del my_list[1]

print(my_list)"
Python Program to Find All File with .txt Extension Present Inside a Directory,"import glob, os

os.chdir(""my_dir"")

for file in glob.glob(""*.txt""):
    print(file)"
Python Program to Get File Creation and Modification Date,"import os.path, time

file = pathlib.Path('abc.py')
print(""Last modification time: %s"" % time.ctime(os.path.getmtime(file)))
print(""Last metadata change time or path creation time: %s"" % time.ctime(os.path.getctime(file)))"
Python Program to Get the Full Path of the Current Working Directory,"import pathlib

// path of the given file
print(pathlib.Path(""my_file.txt"").parent.absolute())

// current working directory
print(pathlib.Path().absolute())"
Python Program to Iterate Through Two Lists in Parallel,"list_1 = [1, 2, 3, 4]
list_2 = ['a', 'b', 'c']

for i, j in zip(list_1, list_2):
    print(i, j)"
Python Program to Check the File Size,"import os

file_stat = os.stat('my_file.txt')
print(file_stat.st_size)"
Python Program to Reverse a Number,"num = 1234
reversed_num = 0

while num != 0:
    digit = num % 10
    reversed_num = reversed_num * 10 + digit
    num //= 10

print(""Reversed Number: "" + str(reversed_num))"
Python Program to Compute the Power of a Number,"base = 3
exponent = 4

result = 1

while exponent != 0:
    result *= base
    exponent-=1

print(""Answer = "" + str(result))"
Python Program to Count the Number of Digits Present In a Number,"num = 3452
count = 0

while num != 0:
    num //= 10
    count += 1

print(""Number of digits: "" + str(count))"
Python Program to Check If Two Strings are Anagram,"str1 = ""Race""
str2 = ""Care""

# convert both the strings into lowercase
str1 = str1.lower()
str2 = str2.lower()

# check if length is same
if(len(str1) == len(str2)):

    # sort the strings
    sorted_str1 = sorted(str1)
    sorted_str2 = sorted(str2)

    # if sorted char arrays are same
    if(sorted_str1 == sorted_str2):
        print(str1 + "" and "" + str2 + "" are anagram."")
    else:
        print(str1 + "" and "" + str2 + "" are not anagram."")

else:
    print(str1 + "" and "" + str2 + "" are not anagram."")"
Python Program to Capitalize the First Character of a String,"my_string = ""programiz is Lit""

print(my_string[0].upper() + my_string[1:])"
Python Program to Compute all the Permutation of the String,"def get_permutation(string, i=0):

    if i == len(string):     
        print("""".join(string))

    for j in range(i, len(string)):

        words = [c for c in string]
   
        # swap
        words[i], words[j] = words[j], words[i]
     
        get_permutation(words, i + 1)

print(get_permutation('yup'))"
Python Program to Create a Countdown Timer,"import time

def countdown(time_sec):
    while time_sec:
        mins, secs = divmod(time_sec, 60)
        timeformat = '{:02d}:{:02d}'.format(mins, secs)
        print(timeformat, end='\r')
        time.sleep(1)
        time_sec -= 1

    print(""stop"")

countdown(5)"
Python Program to Count the Number of Occurrence of a Character in String,"count = 0

my_string = ""Programiz""
my_char = ""r""

for i in my_string:
    if i == my_char:
        count += 1

print(count)"
Python Program to Remove Duplicate Element From a List,"list_1 = [1, 2, 1, 4, 6]

print(list(set(list_1)))"
Python Program to Convert Bytes to a String,"print(b'Easy \xE2\x9C\x85'.decode(""utf-8""))"
What is Python?,"Python is an interpreted, interactive, object-oriented programming
language.  It incorporates modules, exceptions, dynamic typing, very
high level dynamic data types, and classes.  It supports multiple
programming paradigms beyond object-oriented programming, such as
procedural and functional programming.
"
What is the Python Software Foundation?,"The Python Software Foundation is an independent non-profit
organization that holds the copyright on Python versions 2.1 and
newer.  "
Are there copyright restrictions on the use of Python?,"You can do anything you want with the source, as long as you leave the
copyrights in and display those copyrights in any documentation about
Python that you produce.  
"
What is Python good for?,"Python is a high-level general-purpose programming language that can
be applied to many different classes of problems."
How do I obtain a copy of the Python source?,"The latest Python source distribution is always available from
python.org, at https://www.python.org/downloads/.  The latest
development sources can be obtained at
https://github.com/python/cpython/.



"
How do I get documentation on Python?,"The standard documentation for the current stable version of Python is
available at https://docs.python.org/3/.  PDF, plain text, and
downloadable HTML versions are also available at
https://docs.python.org/3/download.html."
I've never programmed before. Is there a Python tutorial?,"
There are numerous tutorials and books available.  The standard
documentation includes The Python Tutorial.

Consult the Beginner's Guide to find information for beginning Python
programmers, including lists of tutorials."
Is there a newsgroup or mailing list devoted to Python?,"There is a newsgroup, *comp.lang.python*, and a mailing list, python-
list.  The newsgroup and mailing list are gatewayed into each other --
if you can read news it's unnecessary to subscribe to the mailing
list. *comp.lang.python* is high-traffic, receiving hundreds of
postings every day, and Usenet readers are often more able to cope
with this volume.
"
How do I get a beta test version of Python?,"Alpha and beta releases are available from
https://www.python.org/downloads/.  All releases are announced on the
comp.lang.python and comp.lang.python.announce newsgroups and on the
Python home page at https://www.python.org/; an RSS feed of news is
available."
How do I submit bug reports and patches for Python?,"To report a bug or submit a patch, please use the Roundup installation
at https://bugs.python.org/.
"
Are there any books on Python?,"Yes, there are many, and more are being published.  See the python.org
wiki at https://wiki.python.org/moin/PythonBooks for a list.
"
Where in the world is python located?,"The Python project's infrastructure is located all over the world and
is managed by the Python Infrastructure Team. "
Why is it called Python?,"When Guido van Rossum began implementing Python,  he was also reading
the published scripts from ""Monty Python's Flying Circus"", a BBC
comedy series from the 1970s.  Van Rossum thought he needed a name
that was short, unique, and slightly mysterious, so he decided to call
the language Python."
How stable is Python?,"Very stable.  New, stable releases have been coming out roughly every
6 to 18 months since 1991, and this seems likely to continue.  As of
version 3.9, Python will have a major new release every 12 months
(**PEP 602**).

"
How many people are using Python?,"There are probably millions of users, though it's difficult to obtain
an exact count.
"
Have any significant projects been done in Python?,"See https://www.python.org/about/success for a list of projects that
use Python. Consulting the proceedings for past Python conferences
will reveal contributions from many different companies and
organizations.

"
What new developments are expected for Python in the future?,"See https://www.python.org/dev/peps/ for the Python Enhancement
Proposals (PEPs). PEPs are design documents describing a suggested new
feature for Python, providing a concise technical specification and a
rationale.  Look for a PEP titled ""Python X.Y Release Schedule"", where
X.Y is a version that hasn't been publicly released yet.
"
Is it reasonable to propose incompatible changes to Python?,"In general, no.  There are already millions of lines of Python code
around the world, so any change in the language that invalidates more
than a very small fraction of existing programs has to be frowned
upon.  "
Is Python a good language for beginning programmers?,"Yes.
Python has a very simple and consistent syntax and a large
standard library and, most importantly, using Python in a beginning
programming course lets students concentrate on important programming
skills such as problem decomposition and data type design.  With
Python, students can be quickly introduced to basic concepts such as
loops and procedures.  T"
Why does Python use indentation for grouping of statements?,"Guido van Rossum believes that using indentation for grouping is
extremely elegant and contributes a lot to the clarity of the average
Python program. Most people learn to love this feature after a while.

"
Why are Python strings immutable?,"There are several advantages.

One is performance: knowing that a string is immutable means we can
allocate space for it at creation time, and the storage requirements
are fixed and unchanging.  This is also one of the reasons for the
distinction between tuples and lists.

Another advantage is that strings in Python are considered as
""elemental"" as numbers.  No amount of activity will change the value 8
to anything else, and in Python, no amount of activity will change the
string ""eight"" to anything else."
